,input_text,target_text
0,LU Factuality: Iraq clears visit by Ohio official,"(clears, true)"
1,"LU Factuality: The Iraqi government has agreed to let U.S. Rep. Tony Hall visit the country next week to assess a humanitarian crisis that has festered since the Gulf War of 1990, Hall's office said Monday.","(agreed, true); (to let, true); (visit, false); (festered, true); (Gulf War, true); (to assess, unknown)"
2,"LU Factuality: The Dayton Democrat, who has traveled to other crisis points including Sierra Leone and North Korea, will spend three days visiting hospitals and other facilities to seek understanding why aid has been ineffective in stemming malnourishment and other medical problems.","(traveled, true); (including, true); (visiting, true); (been ineffective, true); (stemming malnourishment, true); (medical problems, true); (spend, true); (to seek understanding, unknown)"
3,"LU Factuality: Iraq has been under economic sanctions since the war ended, which some say have thwarted the country's ability to recover from the devastation of the bombing campaign.","(been under economic sanctions, true); (war ended, true); (say, true); (bombing campaign, true); (devastation, true); (to recover, false); (thwarted, false)"
4,"LU Factuality: The Persian Gulf War destroyed much of the country's medical infrastructure, according to a report by the World Health Organization. ","(according to, true); (destroyed, false); (report, true)"
5,LU Factuality: In 1996 the WHO found that much of the population existed in a state of ``semi starvation.'',"(found, true); (existed, false); (semi starvation, false)"
6,"LU Factuality: Hall will be only the second member of Congress to travel in Iraq since the war, according to Hall's office. ","(according to, true); (war, true); (to travel, false)"
7,"LU Factuality: The last visitor was then-U.S. Rep. Bill Richardson of New Mexico, who went to help a pair of U.S. oilmen in diplomatic trouble.","(U.S. Rep. Bill Richardson, true); (was, true); (diplomatic trouble, true); (went, true); (to help, unknown)"
8,"LU Factuality: Hall flies to Amman, Jordan, on Friday, where he'll spend the night before driving to Iraq. ","(driving, false); (spend, false); (flies, true)"
9,LU Factuality: Flights are not permitted into Iraq.,"(not permitted, true)"
10,LU Factuality: Hall is to return to Washington on April 22.,"(is, true); (to return, false)"
11,LU Factuality: Story Filed By Cox Newspapers,"(Filed, true)"
12,LU Factuality: Ohio Congressman Arrives in Jordan,"(Arrives, true)"
13,"LU Factuality: AMMAN, Jordan (AP)  U.S. Representative Tony Hall arrived in Jordan on Saturday en route to Iraq, where he is expected to look into the plight of Iraqis after nearly 10 years of U.N. trade sanctions.","(arrived, true); (is expected, true); (plight, true); (U.N. trade sanctions, true); (to look, false)"
14,"LU Factuality: Hall, an Ohio Democrat and one of very few U.S. congressmen to visit Iraq since the 1991 Gulf War over Kuwait, is scheduled to embark Sunday the 12-hour overland trip to the Iraqi capital, Baghdad.","(to visit, true); (scheduled, true); (trip, true); (to embark, false)"
15,"LU Factuality: He did not speak to reporters in Jordan, but he told The Associated Press before leaving the United States that he hopes to ""separate the humanitarian work from the political issues."" ","(not speak, true); (told, true); (leaving, true); (hopes, true); (to ""separate, unknown); (political issues, false); (humanitarian work, false)"
16,"LU Factuality: During his four days in Iraq, Hall said he wanted to investigate reports from relief agencies that a quarter of Iraqi children may be suffering from chronic malnutrition.","(said, true); (wanted, true); (to investigate, unknown); (may, true); (chronic malnutrition, false); (be suffering, unknown)"
17,LU Factuality: He said he would pay particular attention to what happens to food and medicine entering the country under the U.N. oil-for-food program.,"(said, true); (happens, true); (would, true); (U.N. oil-for-food program, true); (entering, true); (pay, unknown)"
18,"LU Factuality: If supplies are not reaching the people who need them, Hall said, he wanted to find out whether the United Nations or relief agencies needed to handle things differently, or whether ""Iraq needs to get out of the way and let us do the job.""","(said, true); (wanted, true); (needed, false); (needs, false); (let, false); (to get out of, unknown); (do the job, false); (not reaching, unknown); (to find out, unknown); (to handle, unknown)"
19,"LU Factuality: The Iraqi government blames the embargo for the malnutrition, infant mortality and other hardships.","(embargo, true); (blames, true); (other hardships, false); (infant mortality, false); (malnutrition, false)"
20,LU Factuality: The sanctions cannot be lifted until U.N. inspectors certify that Iraq has eliminated its weapons of mass destruction and the means to produce them.,"(sanctions, true); (certify, false); (eliminated, false); (means to produce, false); (not be lifted, true)"
21,LU Factuality: Iraq says it has done so and has barred inspectors since late 1998.,"(says, true); (barred, true)"
22,LU Factuality: At least one other congressman has visited Iraq.,"(visited, true)"
23,LU Factuality: Energy Secretary Bill Richardson went to Baghdad in 1995 while a representative for New Mexico.,"(went, true)"
24,"LU Factuality: U.S. Congressman Arrives in Iraq for Landmark Visit BAGHDAD, April 16 (Xinhua) -- ","(Arrives, true); (Visit, true)"
25,"LU Factuality: U.S. Congressman Tony Hall arrived here Sunday evening, becoming the first U.S. lawmaker to visit Iraq since the 1991 Gulf War.","(arrived, true); (becoming, true); (to visit, true)"
26,"LU Factuality: Hall, heading a three-member delegation, arrived here at 19:17 (1517 GMT) by land from Jordanian capital Amman, and stayed at the five-star Mansour Hotel.","(heading, true); (arrived, true); (stayed, true)"
27,"LU Factuality: At the entrance of the Mansour Hotel, Hall made a brief statement, saying that he came to Iraq because he has heard for a long time about the humanitarian situation here, especially the malnutrition among the Iraqi children and the increasing mortality rate of the children and the elderly.","(made, true); (statement, true); (saying, true); (came, false); (increasing, false); (malnutrition, false); (humanitarian situation, false); (heard, false); (mortality rate, false)"
